Trees,Error(%)
1,0.23043974871502004
2,0.07040421346532144
3,0.23193096008629988
4,0.23237515070753223
5,0.23174059267720037
6,0.08366647629925761
7,0.08883812424646231
8,0.09064661463290813
9,0.09153499587537284
10,0.09007551240560951
11,0.08963132178437716
12,0.09032933561774226
13,0.22942445586648896
14,0.2321213274953995
15,0.23129640205596802
16,0.09017069611015927
17,0.08829874992068021
18,0.07218097595025064
19,0.07468748017006155
20,0.07373564312456371
21,0.09115426105717372
22,0.07519512659432703
23,0.07516339869281041
24,0.07008693445015546
25,0.07113395520020305
26,0.0701503902531887
27,0.07018211815470521
28,0.06735833491972842
29,0.07348181991243097
30,0.0696427438289231
31,0.07392601053366332
32,0.06926200901072399
33,0.07119741100323629
34,0.06482010279840089
35,0.06374135414683668
36,0.06545466082873275
37,0.06250396598768959
38,0.06459800748778477
39,0.06301161241195508
40,0.0635827146392538
41,0.06478837489688427
42,0.06431245637413541
43,0.06853226727584238
44,0.0637730820483533
45,0.06786598134399391
46,0.06301161241195508
47,0.0630433403134717
48,0.06475664699536776
49,0.06351925883622056
50,0.06482010279840089
51,0.06453455168475153
52,0.06456627958626815
53,0.061615584745224994
54,0.0628847008058887
55,0.068563995177359
56,0.06329716352560444
57,0.0680246208515769
58,0.06399517735896942
59,0.06938892061679036
60,0.06764388603337779
61,0.06811980455612665
62,0.06545466082873275
63,0.06840535566977601
64,0.06872263468494189
65,0.06865917888190876
66,0.0644710958817184
67,0.06218668697252361
68,0.06421727266958566
69,0.06710451170759568
70,0.06548638873024937
71,0.06850053937432576
72,0.06783425344247729
73,0.0698013833365061
74,0.06719969541214543
75,0.0701503902531887
76,0.06205977536645724
77,0.06133003363157563
78,0.06482010279840089
79,0.06364617044228693
80,0.06266260549527258
81,0.0632337077225712
82,0.06688241639697945
83,0.06231359857858998
84,0.06209150326797386
85,0.06320197982105469
86,0.061615584745224994
87,0.06218668697252361
88,0.0635827146392538
89,0.0644710958817184
90,0.06545466082873275
91,0.06488355860143413
92,0.06256742179072272
93,0.06263087759375596
94,0.06399517735896942
95,0.06348753093470394
96,0.06240878228313984
97,0.06231359857858998
98,0.06437591217716865
99,0.06326543562408782
100,0.06621613046513108
101,0.06250396598768959
102,0.06228187067707347
103,0.06244051018465635
104,0.06196459166190749
105,0.06389999365441967
106,0.0639317215559363
107,0.06456627958626815
108,0.06440764007868516
109,0.06558157243479912
110,0.06491528650295064
111,0.0650104702075005
112,0.06275778919982233
113,0.06399517735896942
114,0.06491528650295064
115,0.0644710958817184
116,0.06424900057110228
117,0.06507392601053363
118,0.06336061932863757
119,0.06462973538930139
120,0.06478837489688427
121,0.0667872326924297
122,0.06332889142712106
123,0.0652008376166
124,0.06313852401802145
125,0.06548638873024937
126,0.06297988451043846
127,0.06342407513167081
128,0.0628847008058887
129,0.06551811663176599
130,0.06510565391205025
131,0.0630433403134717
132,0.06583539564693186
133,0.06685068849546294
134,0.0652008376166
135,0.06710451170759568
136,0.06700932800304593
137,0.06723142331366205
138,0.06742179072276155
139,0.07027730185925507
140,0.06862745098039214
141,0.06897645789707474
142,0.0662478583666476
143,0.06881781838949175
144,0.0671362396091123
145,0.07329145250333147
146,0.07107049939716992
147,0.0726568944729995
148,0.06894472999555812
149,0.07132432260930266
150,0.0696110159274066
151,0.07011866235167208
152,0.06957928802588997
153,0.07065803667745418
154,0.07062630877593756
155,0.07148296211688554
156,0.07072149248048731
157,0.06926200901072399
158,0.06907164160162449
159,0.06996002284408909
160,0.06926200901072399
161,0.07043594136683795
162,0.06881781838949175
163,0.07297417348816548
164,0.0715781458214354
165,0.07233961545783363
166,0.0715781458214354
167,0.07135605051081917
168,0.07154641791991878
169,0.0715781458214354
170,0.06783425344247729
171,0.07072149248048731
172,0.06894472999555812
173,0.06916682530617424
174,0.07040421346532144
175,0.07205406434418427
176,0.06850053937432576
177,0.06843708357129263
178,0.07167332952598515
179,0.07049939716987119
180,0.06700932800304593
181,0.0680246208515769
182,0.06640649787423059
183,0.06929373691224061
184,0.06688241639697945
185,0.0687543625864585
186,0.06554984453328261
187,0.06735833491972842
188,0.06640649787423059
189,0.06850053937432576
190,0.0662478583666476
191,0.06472491909385114
192,0.06780252554096067
193,0.06818326035915989
194,0.06688241639697945
195,0.06913509740465762
196,0.06529602132114987
197,0.06938892061679036
198,0.0632337077225712
199,0.06735833491972842
200,0.06669204898787995
